Green Party of Canada,83263056,46167819,36209051,0,"9,642","8,320",0
Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association,71023,40000,30250,773,18,11,6
Association de Lévis--Bellechasse du Parti Vert du Canada,122500,40000,82500,0,9,0,0
Association de Québec du Parti Vert du Canada,0,0,0,0,0,0,0
Association de Saint-Bruno--Saint-Hubert du Parti Vert,0,0,0,0,0,0,0
Association de Saint-Hyacinthe--Bagot du Parti Vert du Canada,0,0,0,0,0,0,0
Association de Trois-Rivières du Parti Vert du Canada,12500,0,12500,0,2,2,0
Association de Vaudreuil--Soulanges du Parti Vert du Canada,0,0,0,0,0,0,0
Association d'Outremont du Parti Vert du Canada,261300,210500,6000,44800,58,2,50
Association du Parti Vert du Canada de Brossard--La Prairie,4000,0,0,4000,2,0,2
Association Parti Vert du Canada Ahuntsic,0,0,0,0,3,0,0
Barrie Federal Green Party Association,1546200,1244100,268500,33600,87,37,37
Beaches--East York Federal Green Party Association,706802,420000,283500,3302,69,42,20
Beauharnois--Salaberry Federal Green Party Association,145000,111000,20000,14000,25,2,20
Brampton--Springdale Federal Green Party Association,67860,67860,0,0,1,0,0
Brant Federal Green Party Association,78000,55000,23000,0,6,4,0
British Columbia Southern Interior Green Party EDA,127500,0,0,0,2,0,0
Bruce--Grey--Owen Sound Green Party of Canada,281760,189000,86500,6260,34,22,8
Burlington GPC EDA,237500,170000,67500,0,14,10,0
Calgary East Federal Green Party Association,20661,0,0,20661,49,0,49
Calgary West Federal Green Party Association,39000,0,0,39000,3,0,3
Cambridge Federal Green Party Association,46500,0,46500,0,11,11,0
Carleton--Mississippi Mills Federal Green Party Association,796313,403000,177625,215688,131,31,100
Charleswood--St. James--Assiniboia Federal Green Party Association,0,0,0,0,0,0,0
Chatham--Kent Essex Green Party,5500,5500,5500,0,1,1,0
Crowfoot Federal Green Party Association,104000,60000,44000,0,5,4,0
Dauphin--Swan River--Marquette Federal Green Party Association,0,0,0,0,4,0,0
Davenport Federal Green Party Association,216183,216183,0,0,3,3,0
Delta--Richmond East Green Party EDA,0,0,0,0,0,0,0
Don Valley East GPC EDA,178316,168316,10000,0,3,1,0
Don Valley West Green Party Association,0,0,0,0,0,0,0
Dufferin--Caledon Federal Green Party Association,0,0,0,0,0,0,0
Durham Federal Green Party Association,0,0,0,0,0,0,0
Elgin--Middlesex--London GPC EDA,0,0,0,0,0,0,0
Esquimalt--Juan de Fuca Green Party of Canada,0,0,0,0,1,0,0
Essex Green Party of Canada,0,0,0,0,0,0,0
Etobicoke--Lakeshore GPC EDA,12000,0,12000,0,12,12,0
Glengarry--Prescott--Russell Green Party Association,10000,0,10000,0,1,1,0
GPC Victoria EDA,0,0,0,0,0,0,0
Green Party of Canada - Oxford,0,0,0,0,0,0,0
Green Party of Canada - Parry Sound--Muskoka,197500,197500,0,0,3,0,0
Green Party of Canada - Prince George--Peace River,114000,0,114000,0,23,23,0
Green Party of Canada - Western Arctic,96000,40000,56000,0,7,6,0
Green Party of Canada Calgary Centre-North EDA,10000,0,10000,0,1,0,0
Green Party of Canada Eglinton--Lawrence EDA,10000,10000,0,0,1,0,0
Green Party of Canada Lac-Saint-Louis Electoral District Association,0,0,0,0,20,0,0
Green Party of Canada Langley,0,0,0,0,0,0,0
Green Party of Canada Medicine Hat EDA,15000,0,15000,0,0,0,0
Green Party of Canada Ottawa South,54000,50000,4000,0,2,1,0
Green Party Ottawa--Orléans Association,106000,40000,66000,0,10,9,0
Green Party Thunder Bay--Superior North,0,0,0,0,2,0,0
Greens of SDG (Canada),98500,54000,43500,1000,7,5,1
"Guelph EDA, GPC",244064,42000,202064,0,62,60,0
Halifax Federal Green Party Association,294629,240802,52827,1000,29,14,10
Halton Federal Green Party Association,147000,115000,32000,0,7,4,0
Hamilton East--Stoney Creek Green Party of Canada EDA,20000,0,20000,0,1,1,0
Hull--Aylmer Green Party Association,0,0,0,0,1,0,0
Huron--Bruce GPC EDA,0,0,0,0,0,0,0
Kelowna Federal Green Party,108400,42500,65900,0,12,11,0
Kingston and the Islands Green Party,1074160,498000,568000,8159,149,112,26
Kitchener Centre Federal Green Party Association,180044,40000,117000,23044,50,17,32
Kitchener--Waterloo Federal Green Party Association,54000,40000,8000,6000,11,4,6
Kootenay--Columbia Greens Electoral District Association,123000,123000,0,0,3,3,0
Lambton--Kent--Middlesex Federal Green Party Association,0,0,0,0,0,0,0
Lanark--Frontenac--Lennox and Addington Green Party of Canada Electoral District Association,591075,201000,337575,52500,99,43,50
Laurier--Sainte-Marie Federal Green Party Association,0,0,0,0,0,0,0
Leeds--Grenville Federal Green Party Association,137500,41000,41000,96500,12,1,11
London North Centre Federal Green Party Association,277000,75000,200000,2000,96,44,50
London West Federal Green Party Association,781400,606000,167400,8000,58,44,10
Macleod Federal Green Party Association,229000,95000,134000,0,17,15,0
Mississauga South GPC EDA,0,0,0,0,0,0,0
Mississauga--Brampton South Greens,0,0,0,0,0,0,0
Mississauga--Erindale GPC EDA,0,0,0,0,0,0,0
Mississauga--Streetsville Federal Green Party Association,45000,25000,20000,0,5,4,0
Nanaimo--Alberni Federal Green Party Association,590500,485000,100500,5000,22,9,2
Nanaimo--Cowichan Federal Green Party Association,143281,0,0,0,0,0,0
Nepean--Carleton Green Party of Canada EDA,417855,222000,195855,0,25,19,0
Newmarket--Aurora Federal Green Party Association,106500,73000,33500,0,15,13,0
Niagara Falls Federal Green Party Association,70000,40000,30000,0,3,2,0
North Vancouver Federal Green Party Association,504045,366945,126100,11000,78,21,50
Oak Ridges--Markham GPC EDA,0,0,0,0,0,0,0
Oakville Federal Green Party Association,90500,55500,35000,0,9,7,0
Okanagan--Coquihalla Green Party of Canada,0,0,0,0,0,0,0
Oshawa Federal Green Party Association,10000,0,0,0,5,0,0
Ottawa Centre Federal Green Party Association,691250,494750,196500,0,33,21,0
Ottawa West--Nepean Green Party,1000,0,0,1000,1,0,1
Ottawa--Vanier Federal Green Party Association,47500,40000,7500,0,3,2,0
Parkdale--High Park Federal Green Party Association,497000,227500,269500,0,42,35,0
Parti Vert du Canada ACE Argenteuil--Papineau--Mirabel,0,0,0,0,0,0,0
Perth--Wellington EDA Green Party of Canada,241917,115000,126918,0,14,11,0
Peterborough Federal Green Party Association,246500,246500,136500,0,0,9,0
Portage Lisgar Federal Green Party Association,365545,266045,99500,0,20,15,0
Prince Albert Federal Green Party Association,0,0,0,0,0,0,0
Prince Edward--Hastings Federal Green Party,400500,370000,30500,0,12,0,0
Renfrew--Nipissing--Pembroke Green Party Riding Association,0,0,0,0,0,0,0
Richmond Federal Green Party Association,0,0,0,0,0,0,0
Richmond Hill Federal Green Party Association,57500,40000,16000,1500,15,2,12
Saanich--Gulf Islands Green Party EDA,442500,248500,194000,0,34,28,0
Saint Boniface Federal Green Party Association,0,0,0,0,0,0,0
Saint-Laurent--Cartierville Federal Green Party Association,66513,0,0,0,2,0,0
Sarnia--Lambton Green Party EDA,0,0,0,0,1,0,0
Sault Ste. Marie Federal Green Party Association,0,0,0,0,0,0,0
Simcoe North Federal Green Party Association,529558,326000,132500,71058,196,31,0
Simcoe--Grey Federal Green Party Association,0,50000,0,1970,0,0,0
St. Catharines Federal Green Party of Canada Association,112000,75000,37000,0,0,5,0
St. Paul's Federal Green Party Association,63000,21000,42000,0,5,4,0
Sudbury GPC EDA,0,0,0,0,0,0,0
The Greens of Kamloops--Thompson,44600,23500,0,21100,145,0,144
Thornhill Federal Green Party Association,120500,84000,36500,0,6,5,0
Thunder Bay--Rainy River Greens,22000,22000,0,0,1,0,0
Toronto Centre Federal Green Party Association,196000,171000,25000,0,5,2,0
Toronto--Danforth Federal Green Party Association,410500,360000,50500,0,16,7,0
Trinity--Spadina Federal Green Party Association,40000,40000,0,0,1,0,0
Vancouver East Green Party of Canada EDA,0,0,0,0,0,0,0
Vancouver Island North Greens,162500,130000,32500,0,7,4,0
Vancouver Quadra Green Party Electoral District Association,0,0,0,0,0,0,0
Vaughan Green Party EDA,0,0,0,0,2,0,0
Wellington--Halton Hills Federal Green Party Association,0,0,0,0,0,0,0
West Vancouver--Sunshine Coast--Sea to Sky Country GPC EDA,205200,205200,0,0,5,0,0
Westlock--St. Paul Federal Green Party Association,0,0,0,0,0,0,0
Wild Rose Federal Green Party Association,65200,50000,0,15200,21,0,20
Willowdale Green Party of Canada,0,0,0,0,0,0,0
Winnipeg North Greens Association,44970,30000,14969,0,7,6,0
York Centre Federal Green Party Riding Association,55000,0,0,0,1,0,0
York West Federal Green Party Association,146000,120000,26000,0,6,3,0
York--Simcoe Federal Green Party Association,73200,55000,18000,200,6,3,1
