Green Party of Canada,35103066,17860111,17242955,0,"3,606","3,275",0
Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association,319805,206923,112882,0,18,14,0
Association Parti Vert du Canada Ahuntsic,0,0,0,0,0,0,0
Barrie Federal Green Party Association,674650,508700,161350,4600,48,35,3
Beaches--East York Federal Green Party Association,0,0,0,0,0,0,0
Brant Federal Green Party Association,47000,0,47000,0,7,7,0
British Columbia Southern Interior Green Party EDA,22975,22975,0,0,3,3,0
Burlington GPC EDA,72052,20000,52052,0,11,10,0
Cambridge Federal Green Party Association,390000,221000,169000,0,"3,900",0,0
Carleton--Mississippi Mills Federal Green Party Association,22500,22500,22500,0,5,5,0
Chatham--Kent Essex Green Party,0,0,0,0,0,0,0
Davenport Federal Green Party Association,209500,0,5000,0,4,1,0
Delta--Richmond East Green Party EDA,673850,655350,18500,0,5,2,0
Don Valley West Green Party Association,0,0,0,0,0,0,0
Dufferin--Caledon Federal Green Party Association,163500,150000,5000,8500,9,1,4
Durham Federal Green Party Association,0,0,0,0,0,0,0
Esquimalt--Juan de Fuca Green Party of Canada,1047074,830221,216852,0,51,31,0
Etobicoke--Lakeshore GPC EDA,0,0,0,0,0,0,0
Glengarry--Prescott--Russell Green Party Association,147500,80000,67500,0,12,10,0
GPC Victoria EDA,1127700,706150,377000,44550,106,39,56
Green Party of Canada - Oxford,0,0,0,0,0,0,0
Green Party of Canada - Prince George--Peace River,55000,55000,0,0,2,0,0
Green Party of Canada Calgary Centre-North EDA,165525,65000,63500,37025,70,10,58
Green Party of Canada Eglinton--Lawrence EDA,40500,40500,0,0,7,0,0
Green Party of Canada Lac-Saint-Louis Electoral District Association,0,0,0,0,0,0,0
Green Party of Canada Langley,33559,33559,0,0,1,0,0
Green Party of Canada Ottawa South,160500,120000,39750,750,14,9,2
Green Party Ottawa--Orléans Association,0,0,0,0,0,0,0
Green Party Thunder Bay--Superior North,0,0,0,0,0,0,0
Greens of SDG (Canada),669908,373452,293300,3156,49,40,6
"Guelph EDA, GPC",721700,538000,183700,0,57,43,0
Hamilton East--Stoney Creek Green Party of Canada EDA,0,0,0,0,0,0,0
Kelowna Federal Green Party,676139,505743,166996,3400,0,0,0
Kingston and the Islands Green Party,871995,354500,470400,47096,148,83,58
Kitchener--Waterloo Federal Green Party Association,206500,90000,116500,0,20,17,0
Kootenay--Columbia Greens Electoral District Association,0,0,0,0,0,0,0
Lanark--Frontenac--Lennox and Addington Green Party of Canada Electoral District Association,767590,325200,412800,29589,115,40,68
Laurier--Sainte-Marie Federal Green Party Association,0,0,0,0,0,0,0
London North Centre Federal Green Party Association,670399,406866,244583,18950,134,68,59
Malpeque Green Party Electoral District Association,278500,0,0,1000,8,0,8
Mississauga South GPC EDA,7500,7500,7500,0,3,3,0
Mississauga--Brampton South Greens,115896,23896,92000,0,19,18,0
Mississauga--Erindale GPC EDA,0,0,0,0,0,0,0
Mississauga--Streetsville Federal Green Party Association,0,0,0,0,0,0,0
Nanaimo--Alberni Federal Green Party Association,1147590,920190,227400,0,45,26,0
Nanaimo--Cowichan Federal Green Party Association,200300,162000,30300,8000,35,0,0
Nepean--Carleton Green Party of Canada EDA,0,0,0,0,0,0,0
