Green Party of Canada,40935709,22317917,18617792,0,"4,529","4,081",0
Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association,249421,102000,63515,83906,67,9,55
Association de Lévis--Bellechasse du Parti Vert du Canada,184000,184000,184000,0,6,6,0
Association de Québec du Parti Vert du Canada,67061,56261,10800,0,8,7,0
Association de Vaudreuil--Soulanges du Parti Vert du Canada,130000,95000,35000,0,7,4,0
Association d'Outremont du Parti Vert du Canada,107500,40000,65500,2000,10,6,3
Association Parti Vert du Canada Ahuntsic,0,0,0,0,8,0,0
Barrie Federal Green Party Association,885450,614500,269950,1000,61,44,5
Beaches--East York Federal Green Party Association,619050,397500,221400,150,36,27,1
Brampton West Federal Green Party Association,27000,0,27000,0,5,5,0
Brampton--Springdale Federal Green Party Association,0,0,0,0,0,0,0
Brant Federal Green Party Association,54600,25000,28000,1600,20,8,11
British Columbia Southern Interior Green Party EDA,515468,515468,0,0,2,0,0
Bruce--Grey--Owen Sound Green Party of Canada,328648,103000,176600,49048,114,17,93
Burlington GPC EDA,51500,30000,21500,0,9,9,0
Cambridge Federal Green Party Association,145000,111000,34000,0,9,6,0
Carleton--Mississippi Mills Federal Green Party Association,311000,175000,136000,0,21,16,0
Chatham--Kent Essex Green Party,0,0,0,0,0,0,0
Davenport Federal Green Party Association,144000,0,7000,0,0,0,0
Delta--Richmond East Green Party EDA,0,0,0,0,0,0,0
Don Valley East GPC EDA,35000,25000,10000,0,5,4,0
Don Valley West Green Party Association,0,0,0,0,0,0,0
Dufferin--Caledon Federal Green Party Association,180000,40000,140000,0,11,10,0
Durham Federal Green Party Association,0,0,0,0,0,0,0
Elgin--Middlesex--London GPC EDA,0,0,0,0,0,0,0
Esquimalt--Juan de Fuca Green Party of Canada,0,0,0,0,0,0,0
Essex Green Party of Canada,0,0,0,0,0,0,0
Etobicoke--Lakeshore GPC EDA,0,0,0,0,0,0,0
Glengarry--Prescott--Russell Green Party Association,80000,40000,30000,10000,24,3,20
GPC Victoria EDA,334140,285140,47000,2000,15,8,1
Green Party of Canada - Oxford,0,0,0,0,0,0,0
Green Party of Canada - Parry Sound--Muskoka,376750,0,0,0,20,0,0
Green Party of Canada - Prince George--Peace River,138000,118000,20000,0,4,1,0
Green Party of Canada - Western Arctic,12000,0,12000,0,2,2,0
Green Party of Canada Calgary Centre-North EDA,39000,0,0,0,1,0,0
Green Party of Canada Eglinton--Lawrence EDA,64445,0,0,0,3,0,0
Green Party of Canada Lac-Saint-Louis Electoral District Association,0,0,0,0,0,0,0
Green Party of Canada Langley,30000,0,30000,0,2,2,0
Green Party of Canada Medicine Hat EDA,0,0,0,0,0,0,0
Green Party of Canada Ottawa South,23000,0,23000,0,5,5,0
Green Party Ottawa--Orléans Association,20000,0,0,0,0,0,0
Green Party Thunder Bay--Superior North,0,0,0,0,0,0,0
Greens of SDG (Canada),880460,448000,429410,3050,95,81,5
"Guelph EDA, GPC",1139000,748000,391000,0,82,64,0
Hamilton East--Stoney Creek Green Party of Canada EDA,232000,202000,30000,0,6,3,0
Hull--Aylmer Green Party Association,12000,0,12000,0,2,2,0
Huron--Bruce GPC EDA,0,0,0,0,0,0,0
Kelowna Federal Green Party,0,0,0,0,0,0,0
Kingston and the Islands Green Party,1067950,623000,436000,8950,101,70,17
Kitchener--Waterloo Federal Green Party Association,103000,40000,59500,3500,28,7,20
Kootenay--Columbia Greens Electoral District Association,0,0,0,0,0,0,0
Lanark--Frontenac--Lennox and Addington Green Party of Canada Electoral District Association,615644,56629,495664,63349,96,54,40
Laurier--Sainte-Marie Federal Green Party Association,0,0,0,0,0,0,0
Leeds--Grenville Federal Green Party,0,0,0,0,0,0,0
London North Centre Federal Green Party Association,309000,201500,107500,0,17,12,0
London West Federal Green Party Association,364000,208800,153700,1500,54,47,1
Malpeque Green Party Electoral District Association,0,0,0,0,0,0,0
Mississauga South GPC EDA,0,0,0,0,0,0,0
Mississauga--Brampton South Greens,0,0,0,0,0,0,0
Mississauga--Erindale GPC EDA,0,0,0,0,0,0,0
Mississauga--Streetsville Federal Green Party Association,60100,25000,35100,0,6,5,0
Nanaimo--Alberni Federal Green Party Association,592025,529025,63000,0,17,6,0
Nanaimo--Cowichan Federal Green Party Association,49000,45000,4000,0,4,0,0
Nepean--Carleton Green Party of Canada EDA,0,40000,0,0,18,0,0
Newmarket--Aurora Federal Green Party Association,82000,23000,59000,0,8,7,0
Niagara Falls Federal Green Party Association,108000,78000,30000,0,4,2,0
Nickel Belt GPC EDA,0,0,0,0,0,0,0
North Vancouver Federal Green Party Association,39532,0,39532,0,3,3,0
Oak Ridges--Markham GPC EDA,0,20000,0,0,1,0,0
Oakville Federal Green Party Association,0,0,0,0,0,0,0
Okanagan--Coquihalla Green Party of Canada,0,0,0,0,0,0,0
Ottawa Centre Federal Green Party Association,2157000,1287000,870000,0,136,108,0
Ottawa West--Nepean Green Party,0,0,0,0,0,0,0
Ottawa--Vanier Federal Green Party Association,353900,253400,100500,0,25,20,0
Parkdale--High Park Federal Green Party Association,804700,460200,341000,3500,44,35,2
Parti Vert du Canada ACE Argenteuil--Papineau--Mirabel,0,0,0,0,0,0,0
Perth--Wellington EDA Green Party of Canada,80000,80000,0,0,2,0,0
Peterborough Federal Green Party Association,0,0,0,0,0,0,0
Prince Edward--Hastings Federal Green Party,738500,624500,114000,0,33,0,0
Renfrew--Nipissing--Pembroke Green Party Riding Association,0,0,0,0,0,0,0
Richmond Hill Federal Green Party Association,337500,190000,65500,82000,51,6,40
Rosemont--La Petite-Patrie Association of the Green Party of Canada,220000,200000,20000,0,7,2,0
Saanich--Gulf Islands Green Party EDA,510000,295500,214500,0,30,23,0
Sarnia--Lambton Green Party EDA,0,0,0,0,0,0,0
Simcoe North Federal Green Party Association,668621,551500,101100,16021,85,0,0
Simcoe--Grey Federal Green Party Association,0,0,0,0,36,0,0
St. Catharines Federal Green Party of Canada Association,0,0,0,0,4,0,0
St. Paul's Federal Green Party Association,190975,156875,34100,0,5,4,0
Sudbury GPC EDA,0,0,0,0,0,0,0
The Greens of Kamloops--Thompson,0,0,0,0,0,0,0
Thornhill Federal Green Party Association,40000,0,40000,0,6,6,0
Thunder Bay--Rainy River Greens,20500,0,20500,0,2,2,0
Toronto Centre Federal Green Party Association,533500,280000,247000,6500,44,25,12
Toronto--Danforth Federal Green Party Association,176000,100000,70000,6000,11,7,3
Trinity--Spadina Federal Green Party Association,0,0,0,0,0,0,0
Vancouver East Green Party of Canada EDA,0,0,0,0,0,0,0
Vancouver Island North Greens,491500,400000,91500,0,15,8,0
Vancouver Quadra Green Party Electoral District Association,15000,0,15000,0,2,2,0
Vaughan Green Party EDA,750000,700000,50000,0,15,3,0
Wellington--Halton Hills Federal Green Party Association,0,0,0,0,0,0,0
West Vancouver--Sunshine Coast--Sea to Sky Country GPC EDA,0,403000,12000,0,15,0,0
Willowdale Green Party of Canada,215000,200000,15000,0,2,0,0
Winnipeg North Greens Association,10000,10000,0,0,1,0,0
York Centre Federal Green Party Riding Association,0,0,0,0,2,0,0
York West Federal Green Party Association,141000,139000,2000,0,4,1,0
York--Simcoe Federal Green Party Association,25000,25000,0,0,1,0,0
